Market_place,URL,Product_name,SKU,Price,Currency,Total_stars_ranking,Subject,Author,Date,Review,Stars,like,dislike
lowes.com,https://www.lowes.com/pd/Project-Source-Project-Source-Pro-Flush-2-Piece-Single-Flush-Elongated-Chair-Height-White-1-28-GPF/1003066162,Project Source  Pro-Flush White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In Size (Ada Compliant),Model #MT-802PRO,119.0,USD,4.5,"For good flush, needs slight modification",James,"January 16, 2022","For the price and look I would give this a 5 star however, trying to make it a ""watersense"" the flush is so quick that the side walls do not properly clean. you might want to buy another flush valve and replace the installed one. As noted in my pictures, the flush valve is 3.5 inches above the base which leaves little available water to flush and, my tenant required two flushes (and a scrub brush to clean the side) so, if you want a full flush, that is long enough to ""do the job,"" buy another f...",4,32,9
lowes.com,https://www.lowes.com/pd/Project-Source-Project-Source-Pro-Flush-2-Piece-Single-Flush-Elongated-Chair-Height-White-1-28-GPF/1003066162,Project Source  Pro-Flush White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In Size (Ada Compliant),Model #MT-802PRO,119.0,USD,4.5,,Roxy,"April 15, 2022",Besides the lid being too small. It's a pretty good toilet. It's only 100bucks so really you can't ask for perfection. But it works how it should and pretty happy with it. Though I would like a fitted lid so the males can get off my back about it.,3,8,9
lowes.com,https://www.lowes.com/pd/Project-Source-Project-Source-Pro-Flush-2-Piece-Single-Flush-Elongated-Chair-Height-White-1-28-GPF/1003066162,Project Source  Pro-Flush White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In Size (Ada Compliant),Model #MT-802PRO,119.0,USD,4.5,really a good buy,Texan,"November 8, 2022",I've had this for about a month. I have mostly bought total Drakes in the past which are the top rated by most plumbers. that is what I'm comparing this to and also American Standard Cadet 3 which is also a very fine toilet. I paid $100 for this toilet and had someone else install it but I normally install them myself. I had the Fluidmaster waxless seal which work great. this toilet has quality features usually seen in toilets twice to three times the price. first of all it has a 3 inch flush valve and a fully glazed 2 in trapway. the fill valve is a Fluidmaster which is the top of the line. the flapper appears to be just a standard 3 inch flapper. when comes to replacing it I'm going to use a Fluidmaster which has a silicone seat on it and a hard plastic frame. I measured the water spot which is slightly smaller than the American Standard get three I measured 8 in or slightly above front to back. my complaints about the total Drake is that it has more skid marks and not as good a wash down as some of the ever brands. I think American Standard has a little better wash down. both Americans standard and Toto have special treatments on the glazing inside the bowl. I have found that the project Source toilet flushes in my opinion as strongly as a total Drake and possibly stronger than the Cadet 3. I think it's washed down it's about similar to both of those or possibly better than the total Drake. the total Drake and the American Standard are advertisers having special extra smooth glaze within the bowl. that was not an advertised specialty of this toilet but I did not notice much difference. Some things I point out as negative. 1) the siphon trap has a kink in it compared to the American Standard check my picture out. 2)the tank to bowl bolts appear to be brass plated Steel. when buying it I would buy some solid brass or stainless steel tank to bowl bolts. 3)the water spot is slightly smaller than the American Standard Cadet 3 but I felt that the wash down is just as good or better than the Cadet 3 and definitely better than the total drake. overall a great value. I highly recommend it. see my photos. #1. water spot size 8 in. #2 trapway has a kink in it not straight like the American Standard possibly a source of Clogs. #3 picture of the fill valve and flush valve inside the tank appears to be Fluidmaster fill valve and a very nice 3 in flush valve.,5,6,0
lowes.com,https://www.lowes.com/pd/Project-Source-Project-Source-Pro-Flush-2-Piece-Single-Flush-Elongated-Chair-Height-White-1-28-GPF/1003066162,Project Source  Pro-Flush White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In Size (Ada Compliant),Model #MT-802PRO,119.0,USD,4.5,Toilet lid cheaply made,Tammy,"March 20, 2021",Toilet easy install. Good overall except lid does not sit down snuggly & or cover all of unpainted sections of toilet lid. Material still shows thru so makes toilet look so cheap. Very disappointed but did not uncover tank lid until toilet had been completely installed.,3,25,18
lowes.com,https://www.lowes.com/pd/Project-Source-Project-Source-Pro-Flush-2-Piece-Single-Flush-Elongated-Chair-Height-White-1-28-GPF/1003066162,Project Source  Pro-Flush White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In Size (Ada Compliant),Model #MT-802PRO,119.0,USD,4.5,grest toilet for a great price!,TexanStrong,"February 27, 2021","Like most Texans, Valetines day was just a disaster. Pipes busted and toilets were damaged. As soon as stores were open, there were long lines and shelves were empty. Fast forward a week, I had to replace two toilets and luckily I found this gem and it came with everything. When I say everythinng, I mean everything. Wax, bowl internals all came with the toilet and it was so easy to install. Directions were easy to read and it took more time hauling the old one out. Definitely a great buy! Also if your toilet wobbles becausebits not flat on the floor, you have to use wedges because your floor isn’t leveled. Use pennies, thats what I was told.",5,54,9
lowes.com,https://www.lowes.com/pd/Project-Source-Project-Source-Pro-Flush-2-Piece-Single-Flush-Elongated-Chair-Height-White-1-28-GPF/1003066162,Project Source  Pro-Flush White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In Size (Ada Compliant),Model #MT-802PRO,119.0,USD,4.5,Poor quality control.,Paul,"June 13, 2021","I bought the chair height versin of this product this morning. Started installation in our guest bathroom and discovered the plastic nuts and covers for the floor bolts were missing. Back to Lowe’s for free replacements. Rest of the install was uneventful. Everything worked fine. Then my wife discovers a crack in the porcelain on the lip of the bowl. No, I didn’t drop it or do snything that would have caused a hairline crack. So now I’ll have to uninstall it and hope Lowe’s will take it back as Ive broken down the packaging. Totally awful quality control, or product handling or both. So much for saving money. I’ll replace it with a Koehler. You really do get what you pay for.",1,25,22
lowes.com,https://www.lowes.com/pd/Project-Source-Project-Source-Pro-Flush-2-Piece-Single-Flush-Elongated-Chair-Height-White-1-28-GPF/1003066162,Project Source  Pro-Flush White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In Size (Ada Compliant),Model #MT-802PRO,119.0,USD,4.5,Great toilet,camshaft,"June 22, 2022","Toilet works great, easy installation, everything needed was in the box. Replaced all 3 toilets in the house, primarily to get the higher chair height. We did not intend to use the included toilet seats so the fact that 2 out of 3 toilet seats were broken was not a problem. If you were relying on using the included seats, this would have been a problem. See picture. Expect the toilet seat got broken when it was dumped into the package. Would have been 5 stars if the seats all arrived intact.",4,6,0
lowes.com,https://www.lowes.com/pd/Project-Source-Project-Source-Pro-Flush-2-Piece-Single-Flush-Elongated-Chair-Height-White-1-28-GPF/1003066162,Project Source  Pro-Flush White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In Size (Ada Compliant),Model #MT-802PRO,119.0,USD,4.5,best buy toilet period!!!,Craig,"June 11, 2021",This toilet is the best buy out there!it's replacing the aquasource henshaw model which consumer reports rated the best buy toilet!3 inch flush valve not 2 inch makes it super powerful!!!Definetly the best toilet out there and I been doing this a long time,5,39,3
lowes.com,https://www.lowes.com/pd/Project-Source-Project-Source-Pro-Flush-2-Piece-Single-Flush-Elongated-Chair-Height-White-1-28-GPF/1003066162,Project Source  Pro-Flush White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In Size (Ada Compliant),Model #MT-802PRO,119.0,USD,4.5,"A great value, strong flush, and assembled tank!",Jasper,"August 21, 2021","Overall I thought this was a really good value for a replacement toilet and the flush power is drastically higher than in previous 2” toilets I’ve had. The kit comes with everything you need to install it including a wax ring although I ended up using a jumbo ring for a more durable seal. I also really liked how the tank was completely assembled including the studs in the bottom. I didn’t have to rig up the flush system or anything, really making this a nearly tool-less installation. I did end up upgrading the handle with a black Korky kit from Lowe’s to match my other toilet, as well as a soft close American Standard seat, but even with those it was about $150 all in. I like that it looks close enough to a Toto Drake in my master bathroom to pass on casual inspection, and the flush power of the 3” valve makes it reliable for even the most “demanding” guests.",5,24,4
lowes.com,https://www.lowes.com/pd/Project-Source-Project-Source-Pro-Flush-2-Piece-Single-Flush-Elongated-Chair-Height-White-1-28-GPF/1003066162,Project Source  Pro-Flush White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In Size (Ada Compliant),Model #MT-802PRO,119.0,USD,4.5,Awesome setup,meridian,"October 22, 2021","I had this toilet for over a month waiting for work to be done. Once I unpacked it, I was extremely impressed in the packaging. The insides of the toilet were already installed so all I had to do was attach the wax ring (included), bolt the toilet to the floor (bolts are included), and then bolt the tank to the toilet (also already included). Then attach the water line (not included). The tank already had the flapper and the water installed along with the tank bolts fastened so there was nothing to do but turn the water on and check for leaks. No leaks, which was amazing to me... no slow leaks into the bowl, no leaks around the tank. It's been a long time since I've purchased a toilet so having all this prefab work done already took a 2 hour job down to 30 minutes.",5,32,1
