Market_place,URL,Product_name,SKU,Price,Currency,Subject,Author,Date,Review,Stars,like,dislike
lowes.com,https://www.lowes.com/pd/Project-Source-Project-Source-Pro-Flush-2-Piece-Single-Flush-Elongated-Chair-Height-White-1-28-GPF/1003066162,Project Source  Pro-Flush White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In Size (Ada Compliant),Model #MT-802PRO,119.0,USD,So far so good!,Daylily14,"December 10, 2021","Since you don't buy a toilet often, I did a lot of research. I found this brand got excellent reviews, and so far I agree. I haven't had it long so this is what I think. It is sleek looking and has a powerful flush, which is great! The seat is plastic but nice looking. The plumber liked it. I think I made a wise choice!",5,6.0,1.0
lowes.com,https://www.lowes.com/pd/Project-Source-Project-Source-Pro-Flush-2-Piece-Single-Flush-Elongated-Chair-Height-White-1-28-GPF/1003066162,Project Source  Pro-Flush White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In Size (Ada Compliant),Model #MT-802PRO,119.0,USD,U can't go wrong with this toilet,Fyahmanstan,"March 22, 2022","I really love my new toilet , water save , powerful flash, the looks its wonderful",5,5.0,0.0
lowes.com,https://www.lowes.com/pd/Project-Source-Project-Source-Pro-Flush-2-Piece-Single-Flush-Elongated-Chair-Height-White-1-28-GPF/1003066162,Project Source  Pro-Flush White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In Size (Ada Compliant),Model #MT-802PRO,119.0,USD,White toilet,Arttie,"January 13, 2021","Easy install, works just fine. Toilet seat is a bit cheap, plan on buying one when purchasing toilet to save yourself a trip.",5,12.0,3.0
lowes.com,https://www.lowes.com/pd/Project-Source-Project-Source-Pro-Flush-2-Piece-Single-Flush-Elongated-Chair-Height-White-1-28-GPF/1003066162,Project Source  Pro-Flush White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In Size (Ada Compliant),Model #MT-802PRO,119.0,USD,Does the job,Zack,"October 1, 2021","Does the job, but mediocre. Didnt come with the floor bolts or the nuts to secure them, or the caps to cover them. Had to run to the local hardware store since Lowes is so far away. Must have been packaged at the factory on a Monday…",3,12.0,4.0
lowes.com,https://www.lowes.com/pd/Project-Source-Project-Source-Pro-Flush-2-Piece-Single-Flush-Elongated-Chair-Height-White-1-28-GPF/1003066162,Project Source  Pro-Flush White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In Size (Ada Compliant),Model #MT-802PRO,119.0,USD,Everything yoy need is in the box.,Johndlcla,"July 5, 2021","Just what I needed and it was in stock, which got me out of a bind.",5,10.0,2.0
lowes.com,https://www.lowes.com/pd/Project-Source-Project-Source-Pro-Flush-2-Piece-Single-Flush-Elongated-Chair-Height-White-1-28-GPF/1003066162,Project Source  Pro-Flush White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In Size (Ada Compliant),Model #MT-802PRO,119.0,USD,Solid toilet for the price. Smaller than standard.,DadBod,"June 21, 2021","It's a solid toilet. Way better then the store-brand ones that were in my house from the Orange Box store. It is smaller than your regular toilet. Only complaint was that some of the toilet bolts and nuts seemed to be missing, nothing that $1 at Ace couldn't fix.",4,8.0,2.0
lowes.com,https://www.lowes.com/pd/Project-Source-Project-Source-Pro-Flush-2-Piece-Single-Flush-Elongated-Chair-Height-White-1-28-GPF/1003066162,Project Source  Pro-Flush White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In Size (Ada Compliant),Model #MT-802PRO,119.0,USD,Comfortable height and flushes well,MOD78l,"March 13, 2022","Well made, flushes very well & uses little water, comfortable height. Have bought 3 and highly recommend them.",5,7.0,1.0
lowes.com,https://www.lowes.com/pd/Project-Source-Project-Source-Pro-Flush-2-Piece-Single-Flush-Elongated-Chair-Height-White-1-28-GPF/1003066162,Project Source  Pro-Flush White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In Size (Ada Compliant),Model #MT-802PRO,119.0,USD,you get what you pay for.,Tony,"December 13, 2021",the water level in the toilet is not as high as expected. sometimes I have to flush twice. if the box was not destroyed I would have returned it two days later.,2,2.0,4.0
lowes.com,https://www.lowes.com/pd/Project-Source-Project-Source-Pro-Flush-2-Piece-Single-Flush-Elongated-Chair-Height-White-1-28-GPF/1003066162,Project Source  Pro-Flush White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In Size (Ada Compliant),Model #MT-802PRO,119.0,USD,Very good toilet,Alan,"February 4, 2022",This was a easy install everything needed came with it. Gives a good flush. Good design and finish.,5,4.0,0.0
lowes.com,https://www.lowes.com/pd/Project-Source-Project-Source-Pro-Flush-2-Piece-Single-Flush-Elongated-Chair-Height-White-1-28-GPF/1003066162,Project Source  Pro-Flush White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In Size (Ada Compliant),Model #MT-802PRO,119.0,USD,Inexpensive but I would buy it again.,vvcougar71,"April 21, 2022",It was easy to install and it works fine and the price was great. I'd buy it again in a heartbeat.,5,4.0,0.0
lowes.com,https://www.lowes.com/pd/Project-Source-Project-Source-Pro-Flush-2-Piece-Single-Flush-Elongated-Chair-Height-White-1-28-GPF/1003066162,Project Source  Pro-Flush White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In Size (Ada Compliant),Model #MT-802PRO,119.0,USD,display at Lowes too high to inspect product.,Jerry,"June 25, 2022",Factory defect tank leans to left tank lid does not fit even with tank. Not satisfied.,2,4.0,0.0
lowes.com,https://www.lowes.com/pd/Project-Source-Project-Source-Pro-Flush-2-Piece-Single-Flush-Elongated-Chair-Height-White-1-28-GPF/1003066162,Project Source  Pro-Flush White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In Size (Ada Compliant),Model #MT-802PRO,119.0,USD,Best buy!,Kurt,"April 1, 2022","Great value & quality for the price, just as good as toilets costing twice as much",5,4.0,0.0
lowes.com,https://www.lowes.com/pd/Project-Source-Project-Source-Pro-Flush-2-Piece-Single-Flush-Elongated-Chair-Height-White-1-28-GPF/1003066162,Project Source  Pro-Flush White Elongated Chair Height 2-piece WaterSense Toilet 12-in Rough-In Size (Ada Compliant),Model #MT-802PRO,119.0,USD,Perfect height,Elle,"December 4, 2021",Chair or “comfort” height is definitely worth any additional money,5,4.0,0.0
