Market_place,URL,Product_name,SKU,Price,Currency,Subject,Author,Date,Review,Stars
homedepot.com,https://www.homedepot.com/p/American-Standard-Reliant-2-piece-1-28-GPF-Single-Flush-Elongated-Toilet-in-White-Seat-Included-773CA101-020/319247071,Reliant 2-piece 1.28 GPF Single Flush Elongated Toilet in White Seat Included,1007099439,139.0,USD,"Sturdy, super easy to install.. it comes with all the...",MIGUEL,"Sep 29, 2022","Sturdy, super easy to install.. it comes with all the necessary hardware. It flushes with a small amount of water, love the slow-close seat",5
homedepot.com,https://www.homedepot.com/p/American-Standard-Reliant-2-piece-1-28-GPF-Single-Flush-Elongated-Toilet-in-White-Seat-Included-773CA101-020/319247071,Reliant 2-piece 1.28 GPF Single Flush Elongated Toilet in White Seat Included,1007099439,139.0,USD,I had it installed by contractors re-doing the bathroom. ...,MELISSA,"Sep 11, 2022","I had it installed by contractors re-doing the bathroom. It works great. I'm glad I bought the Standard height, because we are not tall. It's a comfortable height and it flushes just fine, very water efficient. The seat that's included is good enough. The contractor told us that he has set up the electrical outlet to install a bidet seat in case we want to switch to a bidet seat in the future. Just mentioning it if you want to consider that.",5
homedepot.com,https://www.homedepot.com/p/American-Standard-Reliant-2-piece-1-28-GPF-Single-Flush-Elongated-Toilet-in-White-Seat-Included-773CA101-020/319247071,Reliant 2-piece 1.28 GPF Single Flush Elongated Toilet in White Seat Included,1007099439,139.0,USD,Good flushing toilet.,Karen59,"Aug 25, 2022",[This review was collected as part of a promotion.] We installed this toilet in our guest bathroom recently. I was very impressed with how good it flushes considering the gpf. It amazes me how Lixil keeps improving with technology to adapt to the need of saving water. I highly recommend this toilet.,5
homedepot.com,https://www.homedepot.com/p/American-Standard-Reliant-2-piece-1-28-GPF-Single-Flush-Elongated-Toilet-in-White-Seat-Included-773CA101-020/319247071,Reliant 2-piece 1.28 GPF Single Flush Elongated Toilet in White Seat Included,1007099439,139.0,USD,Very handsome product,Happyguy08,"Aug 25, 2022",[This review was collected as part of a promotion.] Awesome toilet! Installed as easy as any toilet but looks very nice with a clean appearance! Perfect height. I have elderly family and i was concerned they would be able to get off of it well but urns put there wasnt any issue at all. Overall a great toilet to add to any bathroom,5
homedepot.com,https://www.homedepot.com/p/American-Standard-Reliant-2-piece-1-28-GPF-Single-Flush-Elongated-Toilet-in-White-Seat-Included-773CA101-020/319247071,Reliant 2-piece 1.28 GPF Single Flush Elongated Toilet in White Seat Included,1007099439,139.0,USD,Internal parts set up so tank only fills 1/2 way...,Deb123,"Aug 24, 2022",Internal parts set up so tank only fills 1/2 way resulting in about an inch of water in the toilet. There’s no water in the bowl. Hoping to hear back from American Standard. I paid a plumber to install. I can’t pull this out & return!,1
homedepot.com,https://www.homedepot.com/p/American-Standard-Reliant-2-piece-1-28-GPF-Single-Flush-Elongated-Toilet-in-White-Seat-Included-773CA101-020/319247071,Reliant 2-piece 1.28 GPF Single Flush Elongated Toilet in White Seat Included,1007099439,139.0,USD,Nice Design,Trcjm,"Aug 21, 2022",[This review was collected as part of a promotion.] I really like the toilet. The design of it works very well in our bathroom. Very easy install everything needed was included. The flush works very well much better than our old one. The finish seems to be well done.,5
homedepot.com,https://www.homedepot.com/p/American-Standard-Reliant-2-piece-1-28-GPF-Single-Flush-Elongated-Toilet-in-White-Seat-Included-773CA101-020/319247071,Reliant 2-piece 1.28 GPF Single Flush Elongated Toilet in White Seat Included,1007099439,139.0,USD,Received toilet broken,bschank,"Aug 20, 2022","[This review was collected as part of a promotion.] Toilet was received with bottom half in the back broken. The box was sealed, no visible damage, it was on a pallet attached with banding intact. Opened box everything was packed tightly, there was banding inside as well, that was intact. The bottom rear of the toilet was broken in the box. No appearance of damage on shipping box.",1
homedepot.com,https://www.homedepot.com/p/American-Standard-Reliant-2-piece-1-28-GPF-Single-Flush-Elongated-Toilet-in-White-Seat-Included-773CA101-020/319247071,Reliant 2-piece 1.28 GPF Single Flush Elongated Toilet in White Seat Included,1007099439,139.0,USD,Beautiful product! High Quality!,Caggey,"Aug 9, 2022",[This review was collected as part of a promotion.] This is a really beautiful looking toilet! It's sleek and we can't wait to have it installed. It has a very modern look which we love!! I will submit photos as soon as it's installed! My sister is remodeling and we recommended this toilet to her. Highly recommend!,5
homedepot.com,https://www.homedepot.com/p/American-Standard-Reliant-2-piece-1-28-GPF-Single-Flush-Elongated-Toilet-in-White-Seat-Included-773CA101-020/319247071,Reliant 2-piece 1.28 GPF Single Flush Elongated Toilet in White Seat Included,1007099439,139.0,USD,Great Basic Elongated Toilet,AquaTarkus,"Aug 7, 2022","[This review was collected as part of a promotion.] Another High quality toilet from American Standard! The elongated feature adds needed comfort with the included seat. The flushing mechanism is flawless and will certainly last a very long time. It's also very easy to install, even in tight areas and easy to clean.",5
homedepot.com,https://www.homedepot.com/p/American-Standard-Reliant-2-piece-1-28-GPF-Single-Flush-Elongated-Toilet-in-White-Seat-Included-773CA101-020/319247071,Reliant 2-piece 1.28 GPF Single Flush Elongated Toilet in White Seat Included,1007099439,139.0,USD,Great quality,Lologal25,"Aug 6, 2022","[This review was collected as part of a promotion.] This Reliant standard toilet is a very good quality product and works great. My husband installed this in our master bathroom to replace our old one which needed to be updated. This one is very sturdy, built well, and it was easy to install.",5
homedepot.com,https://www.homedepot.com/p/American-Standard-Reliant-2-piece-1-28-GPF-Single-Flush-Elongated-Toilet-in-White-Seat-Included-773CA101-020/319247071,Reliant 2-piece 1.28 GPF Single Flush Elongated Toilet in White Seat Included,1007099439,139.0,USD,Perfect size and flush system works great!!! I replaced...,JENN,"Jul 28, 2022",Perfect size and flush system works great!!! I replaced all three toilets in my home after we gave one of these a “test run!”,5
homedepot.com,https://www.homedepot.com/p/American-Standard-Reliant-2-piece-1-28-GPF-Single-Flush-Elongated-Toilet-in-White-Seat-Included-773CA101-020/319247071,Reliant 2-piece 1.28 GPF Single Flush Elongated Toilet in White Seat Included,1007099439,139.0,USD,Easy install works great,French Chalet,"Jul 27, 2022",Installation instructions were good. All described parts were in the box and went together effortlessly. The toilet flushes nice and is relatively quiet. The flush valve and fill valve are all preassembled and were adjusted for water height perfectly.,5
homedepot.com,https://www.homedepot.com/p/American-Standard-Reliant-2-piece-1-28-GPF-Single-Flush-Elongated-Toilet-in-White-Seat-Included-773CA101-020/319247071,Reliant 2-piece 1.28 GPF Single Flush Elongated Toilet in White Seat Included,1007099439,139.0,USD,It's A Toilet,BoogieLXX,"Jul 22, 2022","Price could have been better considering the cheap plastic seat it comes with, but overall, does what its supposed to, easy installation.",4
homedepot.com,https://www.homedepot.com/p/American-Standard-Reliant-2-piece-1-28-GPF-Single-Flush-Elongated-Toilet-in-White-Seat-Included-773CA101-020/319247071,Reliant 2-piece 1.28 GPF Single Flush Elongated Toilet in White Seat Included,1007099439,139.0,USD,Good product,disappointed,"Jul 20, 2022",Toilet works great. Flushes well,4
homedepot.com,https://www.homedepot.com/p/American-Standard-Reliant-2-piece-1-28-GPF-Single-Flush-Elongated-Toilet-in-White-Seat-Included-773CA101-020/319247071,Reliant 2-piece 1.28 GPF Single Flush Elongated Toilet in White Seat Included,1007099439,139.0,USD,"Really nice size, just what I was looking for ....",Mandy,"Jul 13, 2022","Really nice size, just what I was looking for .",4
homedepot.com,https://www.homedepot.com/p/American-Standard-Reliant-2-piece-1-28-GPF-Single-Flush-Elongated-Toilet-in-White-Seat-Included-773CA101-020/319247071,Reliant 2-piece 1.28 GPF Single Flush Elongated Toilet in White Seat Included,1007099439,139.0,USD,"This toilet was easy to install, everything needed is in...",Anne,"Jul 12, 2022","This toilet was easy to install, everything needed is in the box. It works well, no more double flushes or plunger needed. The slow closing lid is an added bonus. We plan on buying another when we work on our 2nd bathroom.",5
